Jeff Caldwell,24,New England Revolution,Goalkeeper,"Todd, NC",8
Drake Callender,23,Inter Miami CF,Goalkeeper,"Todd, NC",7
Alexander Callens,28,New York City FC,Defender,"Callao, Peru, International",12
Eric Calvillo,22,San Jose Earthquakes,Midfielder,"Palmdale, CA",6
Francisco Calvo,28,Chicago Fire FC,Defender,"Palmdale, CA",12
Rudy Camacho,29,Montreal Impact,Defender,"L'Arbresle, France, International",13
George Campbell,19,Atlanta United FC,Defender,"Atlanta, GA",3
Russell Canouse,25,D.C. United,Midfielder,"Atlanta, GA",9
Andrew Carleton,20,Atlanta United FC,Forward,"Powder Springs, GA",4
Julian Carranza,20,Inter Miami CF,Forward,"Oncativo, Argentina, International",4
Javier Casas,17,Chicago Fire FC,Midfielder,"Addison, IL",1
Julio Cascante,27,Portland Timbers,Defender,"Addison, IL",11
Cristian Casseres Jr.,20,New York Red Bulls,Midfielder,"Addison, IL",4
Valentin Castellanos,22,New York City FC,Forward,"Addison, IL",6
Edgar Castillo,34,Atlanta United FC,Defender,"Las Cruces, NM",18
Manuel Castro,25,Atlanta United FC,Midfielder,"Las Cruces, NM",9
Lucas Cavallini,27,Vancouver Whitecaps FC,Forward,"Mississauga, ON",11
Emanuel Cecchini,23,Seattle Sounders FC,Midfielder,"Ingeniero Huergo, Argentina, International",7
Darwin Ceren,30,Houston Dynamo FC,Midfielder,"Quezaltepeque, El Salvador, International",14
Edwin Cerrillo,20,FC Dallas,Midfielder,"Frisco, TX",4
Thomas Chacon,20,Minnesota United FC,Midfielder,"Palmitas, Uruguay, International",4
Maikel Chang,29,Real Salt Lake,Midfielder,"Havana, Cuba, International",13
Maxime Chanot,31,New York City FC,Defender,"Nancy, Fance, International",15
Jay Chapman,26,Inter Miami CF,Midfielder,"Toronto, ON",10
Diego Chara,34,Portland Timbers,Midfielder,"Cali, Colombia, International",18
Yimmi Chara,29,Portland Timbers,Midfielder,"Cali, Colombia, International",13
Justin Che,17,FC Dallas,Defender,"Frisco, TX",1
Mathieu Choiniere,21,Montreal Impact,Midfielder,"Saint-Alexandre, QC",5
Jose Cifuentes,21,Los Angeles Football Club,Midfielder,"Saint-Alexandre, QC",5
Laurent Ciman,35,Toronto FC,Defender,"Liège, Belgium, International",19
Caden Clark,17,New York Red Bulls,Midfielder,"Medina, MN",1
Steve Clark,34,Portland Timbers,Goalkeeper,"Medina, MN",18
Stefan Cleveland,26,Seattle Sounders FC,Goalkeeper,"Dayton, OH",10
CJ Cochran,29,Nashville SC,Goalkeeper,"Alpharetta, GA",13
Elliot Collier,25,Chicago Fire FC,Forward,"Hamilton, New Zealand, International",9
Aurelien Collin,34,Philadelphia Union,Defender,"Hamilton, New Zealand, International",18
Josue Colman,22,Orlando City SC,Midfielder,"Asuncion, Paraguay, International",6
Simon Colyn,18,Vancouver Whitecaps FC,Midfielder,"Langley, BC",2
Tomas Conechny,22,Portland Timbers,Midfielder,"Langley, BC",6
Derek Cornelius,23,Vancouver Whitecaps FC,Defender,"Ajax, ON",7
Joe Corona,30,LA Galaxy,Midfielder,"Ajax, ON",14
Jorge Corrales,29,Montreal Impact,Defender,"Pinar del Rio, Cuba, International",13
Cade Cowell,17,San Jose Earthquakes,Forward,"Ceres, CA",1
Warren Creavalle,30,Philadelphia Union,Midfielder,"Acworth, GA",14
Maxime Crepeau,26,Vancouver Whitecaps FC,Goalkeeper,"Candiac, QC",10
Cody Cropper,27,Houston Dynamo FC,Goalkeeper,"Maple Grove, MN",11
Allan Cruz,24,FC Cincinnati,Midfielder,"Nicoya, Costa Rica, International",8
Emil Cuello,23,LA Galaxy,Midfielder,"Orem, UT",7
Antonio Carlos,27,Orlando City SC,Defender,"Orem, UT",11
Auro,24,Toronto FC,Defender,"Orem, UT",8
Cristian Dajome,26,Vancouver Whitecaps FC,Midfielder,"Bogota, Colombia, International",10
Jurgen Damm,28,Atlanta United FC,Midfielder,"Bogota, Colombia, International",12
Abu Danladi,25,Nashville SC,Forward,"Takoradi, Ghana, International",9
Sean Davis,27,New York Red Bulls,Midfielder,"Holmdel, NJ",11
Junior Urso,31,Orlando City SC,Midfielder,"Taboão da Serra, Brazil, International",15
Alex De John,29,Orlando City SC,Defender,"Taboão da Serra, Brazil, International",13
Artur,24,Columbus Crew SC,Midfielder,"Salvador, Brazil, International",8
Jack de Vries,18,Philadelphia Union,Midfielder,"Brussels, Belgium, International",2
A.J. DeLaGarza,33,Inter Miami CF,Defender,"Bryans Road, MD",17
Antonio Mlinar Delamea,29,New England Revolution,Defender,"Celje, Slovenia, International",13
Jordy Delem,27,Seattle Sounders FC,Midfielder,"Fort-de-France, Martinique, International",11
Nick DeLeon,30,Toronto FC,Midfielder,"Phoenix, AZ",14
Marky Delgado,25,Toronto FC,Midfielder,"Phoenix, AZ",9
Nick DePuy,26,LA Galaxy,Defender,"Irvine, CA",10
Joey DeZart,22,Orlando City SC,Midfielder,"Jackson, NJ",6
Justin Dhillon,25,Seattle Sounders FC,Forward,"Rancho Santa Margarita, CA",9
Amadou Dia,27,Sporting Kansas City,Defender,"Highlands Ranch, CO",11
Luis Diaz,21,Columbus Crew SC,Midfielder,"Nicoya, Costa Rica, International",5
Bakaye Dibassy,31,Minnesota United FC,Defender,"Paris, France, International",15
Eric Dick,26,Sporting Kansas City,Goalkeeper,"Carmel, IN",10
Tanner Dieterich,22,Nashville SC,Midfielder,"Nashville, TN",6
Daryl Dike,20,Orlando City SC,Forward,"Edmond, OK",4
Clement Diop,27,Montreal Impact,Goalkeeper,"Paris, France, International",11
